編號,地震時間,經度,緯度,規模,深度,位置
18,2023/3/16 12:28,121.24,23.2657,4.1,16.9,花蓮縣政府南南西方  89.2  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023/3/16 02:35,121.819,24.5313,3.2,7.6,宜蘭縣政府南南東方  22.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023/3/15 17:31,120.866,24.4593,3,5.2,苗栗縣政府南南東方  12.6  公里 (位於苗栗縣獅潭鄉)(苗栗縣獅潭鄉)
小區域有感地震,2023/3/13 21:58,121.873,23.4673,3.8,28.2,花蓮縣政府南南東方  63.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/13 21:04,121.482,23.9482,3.8,18.8,花蓮縣政府西南西方  14.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023/3/13 19:05,121.95,24.4882,3.1,12.6,宜蘭縣政府東南方  32.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023/3/13 14:38,120.647,23.148,3.4,9.3,高雄市政府北北東方  67.7  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2023/3/13 09:41,121.162,23.0958,3.5,13.7,臺東縣政府北方  37.8  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023/3/13 08:11,121.982,24.8077,4.1,5.5,宜蘭縣政府東北東方  23.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/13 05:19,121.986,24.8068,3.6,7.5,宜蘭縣政府東北東方  24.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/11 21:17,121.589,23.6335,4.4,31.5,花蓮縣政府南方  39.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/3/11 09:16,121.471,23.7743,3.6,10,花蓮縣政府西南方  28.4  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2023/3/11 04:21,120.974,24.0693,3.5,24.6,南投縣政府東北東方  34.3  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
小區域有感地震,2023/3/10 03:45,121.559,23.4437,4.1,34.3,花蓮縣政府南方  60.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/3/9 17:38,121.739,23.7515,4,42.9,花蓮縣政府南南東方  29.1  公里 (位於臺灣東部海域)(臺灣東部海域)
17,2023/3/6 22:34,121.857,24.53,4,12.3,宜蘭縣政府南南東方  24.2  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2023/3/6 21:27,121.736,23.9942,3.6,6.4,花蓮縣政府東方  11.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/6 21:10,121.56,23.7953,3.5,23.7,花蓮縣政府南南西方  22.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023/3/6 12:20,121.697,23.689,4.2,51.1,花蓮縣政府南南東方  34.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/6 08:31,121.874,24.1728,3.9,23.2,花蓮縣政府東北方  32.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/5 15:19,121.845,24.5355,3.5,9.6,宜蘭縣政府南南東方  23.2  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2023/3/4 01:57,122.18,24.0682,4.7,16.3,花蓮縣政府東方  57.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/3/3 22:48,121.92,24.8468,4.8,107.7,宜蘭縣政府東北方  20.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
16,2023/3/3 00:48,121.837,24.5317,4.9,10.8,宜蘭縣政府南南東方  23.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
15,2023/3/2 19:25,121.844,24.5312,4.1,10.6,宜蘭縣政府南南東方  23.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023/3/2 18:40,121.328,23.486,3.5,9.1,花蓮縣政府南南西方  63.4  公里 (位於花蓮縣瑞穗鄉)(花蓮縣瑞穗鄉)
小區域有感地震,2023/3/2 15:01,121.339,23.0615,3.9,19.1,臺東縣政府北北東方  39.0  公里 (位於臺東縣近海)(臺東縣近海)
