活動名稱,資訊網址
6/13 (二) TGEEA 繪客室第 5 場｜「我是誰？」相關繪本交流,https://tgeea.org.tw/event/learn/32305/
2023 年免費申請千德爾情感教育研習課程（歡迎教師研習、社工與志工進修活動）,https://tgeea.org.tw/event/cooperate/32203/
06/03 (六) TGEEA 性平星期六 #16｜在性別 NGO 工作，會不會餓死？,https://tgeea.org.tw/event/lecture/32111/
5/16 (二) TGEEA 繪客室第 4 場｜「不再恐同」相關繪本交流,https://tgeea.org.tw/event/learn/31951/
2023 年千德爾情感教育種子培訓課程【台中場】【新竹場】,https://tgeea.org.tw/event/31919/
4/28 (五) 性平教育研習：千德爾情感教育課程 @金門,https://tgeea.org.tw/event/31768/
05/06 (六) TGEEA 性平星期六｜死亡咖啡館：不留遺憾地說再見,https://tgeea.org.tw/event/learn/30876/
4/18 (二) TGEEA 繪客室第 3 場｜「永鋕不忘」校園霸凌相關繪本交流,https://tgeea.org.tw/event/learn/30834/
3/29 (三) 電影《本日公休》包場觀影+映後座談～傅天余導演 2023 最新暖心作品,https://tgeea.org.tw/event/expo/30634/
3/28 (二) TGEEA 繪客室第 2 場｜Love Your Body 身體意象相關繪本交流分享,https://tgeea.org.tw/event/learn/30550/
04/08 (六) TGEEA 性平星期六｜零基礎也可以！男性保養彩妝入門講座,https://tgeea.org.tw/event/lecture/30561/
03/18 (六) TGEEA 性平星期六｜見林又見樹，一花一天堂：看見心智障礙者性教育的浪漫,https://tgeea.org.tw/event/30369/
02/11 (六) TGEEA性平星期六｜如何讓「性」無障礙？當性產業遇到障礙者的性,https://tgeea.org.tw/event/29997/
第一屆臺灣婦女、兒童人權教案競賽（2023 年 4 月 10 日截止）,https://tgeea.org.tw/event/contributions/29295/
12/03 (六) TGEEA性平星期六｜同婚過了，接下來呢？台灣同志的過去、現在與未來,https://tgeea.org.tw/event/workshop/29160/
用桌遊和孩子一起認識同志家庭！2022 台灣同志驕傲月系列活動（台灣性別平等教育協會X人本三重青少年基地X聯合利華X屈臣氏）,https://tgeea.org.tw/event/cooperate/29057/
11/19-20 2022 兒少性剝削防治社區培力進階工作坊（台北場）,https://tgeea.org.tw/event/workshop/28957/
11/5 (六) 千德爾：情感教育的12堂課工作坊 @澎湖場,https://tgeea.org.tw/event/28780/
