活動日期,活動名稱,活動網址
2023-09-30(週六),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-08-25(週五),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-07-28(週五),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-07-14(週五),2023全國生物多樣性教育培訓班,https://e-info.org.tw/node/236830
2023-07-08(週六),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-06-30(週五),【台灣環境資訊協會】一起守護山林，捐款贈送桃山神木等身海報！,https://e-info.org.tw/node/236651
2023-06-30(週五),【台灣環境資訊協會】一起守護山林，捐款贈送桃山神木等身海報！,https://e-info.org.tw/node/236651
2023-06-29(週四),【台灣河溪學院】河川生命力-魚、青蛙及鳥朋友,https://e-info.org.tw/node/236795
2023-06-25(週日),【原生植物保育協會】前港公園市集暨艾草藥膏手工體驗,https://e-info.org.tw/node/236846
2023-06-24(週六),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-06-24(週六),【台灣蝴蝶保育學會】賞蝶趣—認識外來種蝴蝶,https://e-info.org.tw/node/236587
2023-06-16(週五),【自然谷環境信託基地】療癒企劃——野花草手抄紙╳茶席,https://e-info.org.tw/node/236818
2023-06-15(週四),【台灣河溪學院】河川生命力-魚、青蛙及鳥朋友,https://e-info.org.tw/node/236795
2023-06-15(週四),【台灣河溪學院】河川生命力-魚、青蛙及鳥朋友,https://e-info.org.tw/node/236795
2023-06-10(週六),【荒野台北】《二格山》夏葉絮語—森呼吸,https://e-info.org.tw/node/236887
2023-06-08(週四),【黃金蝙蝠生態館】世界海洋日-台灣白海豚的現在與未來,https://e-info.org.tw/node/236835
2023-06-03(週六),「投資地球，自然就好」綠色存股x阿里磅濕地,https://e-info.org.tw/node/236546
2023-06-03(週六),【荒野保護協會│大專生隊輔招募】2023 年暑期緯創社福兒童-地球守護者營隊十四日培訓,https://e-info.org.tw/node/236841
2023-05-28(週日),【荒野保護協會台北分會】《河岸漫遊》2023五股濕地生態園區生態導覽,https://e-info.org.tw/node/236778
2023-05-27(週六),【環資自然谷環境信託基地】生態講座_台灣陸域野生哺乳類多樣性及保育,https://e-info.org.tw/node/236739
